GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPXT000,com.bbva.capx,AbstractCAPXT00001COTransaction,5,8,0,0,2,3,1,2,1,2
CAPXT000,com.bbva.capx,CAPXT00001COTransaction,33,3,0,0,10,1,1,1,1,1
