GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPXR004IMPL,com.bbva.capx.lib.r004.impl,CAPXR004Impl,133,8,6,0,26,3,4,3,1,3
CAPXR004IMPL,com.bbva.capx.lib.r004.impl,CAPXR004Abstract,0,19,0,0,0,8,0,5,0,5
